,sentence,SearchScreeningEvent,SearchCreativeWork,RateBook,AddToPlaylist
0,What are the movie schedule at Malco Theatres,1,0,0,0
1,I want to get the movie schedule,1,0,0,0
2,Show me movie time for I Am Sorry  at my movie house,1,0,0,0
3,Find time for Trouble for Two in one minute at Landmark Theatres,1,0,0,0
4,Please show me the movie schedule for movies playing in the neighborhood.,1,0,0,0
5,What are the time for movies playing at Star Theatres?,1,0,0,0
6,What time are the animated movies playing at Mann Theatres?,1,0,0,0
7,I'm wondering what cinema is playing Peters baby.,1,0,0,0
8,i want the movie schedules for movies around here,1,0,0,0
9,What movies are playing at the nearest movie house,1,0,0,0
10,find Wild at Heart,1,0,0,0
11,She me the movie times,1,0,0,0
12,What movie theatre is playing Sherlock Holmes and Dr. Watson fifteen hours and one minute from now,1,0,0,0
13,What is the local movie times,1,0,0,0
14,find a movie house showing Cage Without a Key,1,0,0,0
15,What time is are movies at the closest movie theatre,1,0,0,0
16,Find the nearest movie house that's showing movies,1,0,0,0
17,find some close by movies,1,0,0,0
18,where is Wild America showing at zero P.M.,1,0,0,0
19,I'd like to see Snowball Express,1,0,0,0
20,find movie schedules at Goodrich Quality Theaters,1,0,0,0
21,When is Beyond My Reach scheduled at the nearest cinema?,1,0,0,0
22,Find the schedule for films at Cobb Theatres.,1,0,0,0
23,find 16 starting time for Heavenly Body,1,0,0,0
24,What animated movies are playing close by at four o'clock?,1,0,0,0
25,Find the movie schedule for films in the area.,1,0,0,0
26,What AMC Theaters is The Red Dance playing at?,1,0,0,0
27,show movie times at Megaplex Theatres,1,0,0,0
28,What is the movie schedule at the Fox Theatres,1,0,0,0
29,find movie times,1,0,0,0
30,give me the movie schedule,1,0,0,0
31,Find me Third Man on the Mountain at a cinema,1,0,0,0
32,I'd like to watch The Utopian Society,1,0,0,0
33,can you give me the movie times,1,0,0,0
34,What time is A Ball at the Anjo House playing,1,0,0,0
35,What is the closest movie theatre that is playing animated movies,1,0,0,0
36,Check movie schedules and find which animated movies are being aired in the neighborhood movie halls.,1,0,0,0
37,Find the schedule for The Voice in the Fog at night at the closest movie house.,1,0,0,0
38,When is Barbary Coast playing?,1,0,0,0
39,is Terminal Station at Cinemark Theatres,1,0,0,0
40,I'd like to watch Sherlock Holmes à New York at KB Theatres,1,0,0,0
41,What time is movies playing around here,1,0,0,0
42,Show me the movie schedule for Caribbean Cinemas,1,0,0,0
43,Show me the movie schedules for Santikos Theatres.,1,0,0,0
44,Is Live Forever: The Rise and Fall of Brit Pop playing at the closest cinema in 1 minute,1,0,0,0
45,Check which cinema currently runs When the Last Sword is Drawn.,1,0,0,0
46,find a movie house with Colic: The Movie that is nearest,1,0,0,0
47,Tell me what films are currently playing at AMC Theaters,1,0,0,0
48,find movies with movie schedules in the neighborhood,1,0,0,0
49,what movie theatre is showing If the Huns Came to Melbourne,1,0,0,0
50,What films and movie times are close by,1,0,0,0
51,find National Amusements showing The Sea Is Behind,1,0,0,0
52,show movie times,1,0,0,0
53,Is The Swan available to watch at the movie house now?,1,0,0,0
54,is Traffic at the movie theatre,1,0,0,0
55,Find time for the movie schedule at Cineplex Odeon Corporation,1,0,0,0
56,What time is Kerasotes Theatres playing animated movies,1,0,0,0
57,find The Flying Ace,1,0,0,0
58,is Transcending Fear at Malco Theatres,1,0,0,0
59,Can you give me a local and current movie schedule ,1,0,0,0
60,Where is the nearest movie house that is playing Teaching to See,1,0,0,0
61,closest movie theatre with No Time for Sergeants,1,0,0,0
62,where is Beyblade: Fierce Battle playing,1,0,0,0
63,when is Hefner: Unauthorized showing at Magic Johnson Theatres,1,0,0,0
64,what's the closest movie house showing animated movies,1,0,0,0
65,find a nearby movie schedule for movies,1,0,0,0
66,Showtimes for Medal for the General,1,0,0,0
67,When is His English Wife showing at the Neighborhood Cinema Group?,1,0,0,0
68,What time is The Count playing,1,0,0,0
69,find animated movies in the neighborhood,1,0,0,0
70,Can you tell me what time The Fickle is playing at the closest cinema,1,0,0,0
71,show movie schedules at Megaplex Theatres,1,0,0,0
72,what's the nearest movie theatre showing movies,1,0,0,0
73,please give me the movie schedule,1,0,0,0
74,i want to watch animated movies at Showcase Cinemas,1,0,0,0
75,find The Broken,1,0,0,0
76,where is the nearest movie theatre showing movies,1,0,0,0
77,find Three in the Attic,1,0,0,0
78,What is the movie schedule for animated movies in the area,1,0,0,0
79,Can you give me the movie schedules at Mann Theatres?,1,0,0,0
80,give me the movie schedule for animated movies showing in the neighborhood,1,0,0,0
81,When is Longwave going to be playing?,1,0,0,0
82,Find the movie schedules for me,1,0,0,0
83,find Vegucated starting at zero pm,1,0,0,0
84,What time will Where the Breakers Roar be playing?,1,0,0,0
85,I'd like to watch Dirty Laundry at the movie house ,1,0,0,0
86,I want the movie schedule for animated movies in the area ,1,0,0,0
87,Is The Tender Years at the nearest movie theatre,1,0,0,0
88,Find the schedule for The Band of Honest Men at the nearest movie theatre.,1,0,0,0
89,Show me the movie schedule,1,0,0,0
90,I'd like to watch films at the nearest cinema at 8 am,1,0,0,0
91,Find the movie times for animated movies around here.,1,0,0,0
92,showtimes for movies currently playing at Speakeasy Theaters,1,0,0,0
93,can you find me a showing for Before the Music Dies in one second ?,1,0,0,0
94,Find the movie schedules for Cobb Theatres.,1,0,0,0
95,What is the movie schedules for the Harkins Theatres,1,0,0,0
96,find movie times,1,0,0,0
97,what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 14:40,1,0,0,0
98,find a cinema closest with animated movies,1,0,0,0
99,Show me movie times at Cooper Foundation.,1,0,0,0
100,find movie times for films close by,1,0,0,0
101,"movie schedules at AMC Theaters
",1,0,0,0
102,Please tell me movie times,1,0,0,0
103,show movie schedules close by movies,1,0,0,0
104,What time will In the Name of the Son be playing?,1,0,0,0
105,Which movies are playing at the nearest cinema at twelve PM?,1,0,0,0
106,is Dishyum at the cinema,1,0,0,0
107,Show me movie schedules,1,0,0,0
108,Let me get the movie schedule for lunch time.,1,0,0,0
109,What movies are playing in the area ,1,0,0,0
110,Find the schedule for films at Century Theatres.,1,0,0,0
111,when can i see A Handful of Dust in a movie theatre,1,0,0,0
112,Which movies are playing at the closest cinema?,1,0,0,0
113,what's the movie schedules for in the neighborhood at the movies,1,0,0,0
114,Show me movie times for animated movies playing three hours from now in the neighbourhood.,1,0,0,0
115,What are the movie times for films playing in the area?,1,0,0,0
116,List movie schedule,1,0,0,0
117,show me movies in the area,1,0,0,0
118,Which animated movies are showing at the Neighborhood Cinema Group?,1,0,0,0
119,What films are playing at the nearest movie theatre,1,0,0,0
120,What time is film showing at Southern Theatres,1,0,0,0
121,Find movie times for Alamo Drafthouse Cinema at 10:37 P.M..,1,0,0,0
122,What time is I Know That You Know That I Know lpaying,1,0,0,0
123,Show me the films currently playing at the nearest movie theatre,1,0,0,0
124,show the movies at the nearest movie house,1,0,0,0
125,What cinema is The Railway Children,1,0,0,0
126,What are the movie times for movies around here,1,0,0,0
127,Where is The Beach of Lost Children playing,1,0,0,0
128,I'd like to see the showtimes for Silly Movie 2.0 at the movie house,1,0,0,0
129,11 seconds from now find a cinema with First Monday in October,1,0,0,0
130,Is The King of the Kitchen playing in fifteen hours?,1,0,0,0
131,What movies are going to be screened at Caribbean Cinemas at fourteen o'clock?,1,0,0,0
132,What time is Goodbye Mothers playing?,1,0,0,0
133,show movie times for AMC Theatres,1,0,0,0
134,What movie times start in 22 seconds at Magic Johnson Theatres,1,0,0,0
135,find films at Showcase Cinemas,1,0,0,0
136,is The Couch Trip at the nearest cinema,1,0,0,0
137,What time is High Tide at Noon showing,1,0,0,0
138,What time is Chandranath playing MJR Theatres,1,0,0,0
139,What are the movie schedules for the Dipson Theatres,1,0,0,0
140,What time is Death Nurse showing,1,0,0,0
141,What is the movies playing at North American Cinemas,1,0,0,0
142,What time is Swarna Trishna playinh at Loews Cineplex,1,0,0,0
143,find animated movies nearest at a movie house,1,0,0,0
144,What is the local movie schedule,1,0,0,0
145,find films in Cinemark Theatres,1,0,0,0
146,What time are movies showing around here,1,0,0,0
147,When is Romance on the Range playing at movie house?,1,0,0,0
148,What films are being shown at the National Amusements,1,0,0,0
149,Where animated movies does North American Cinemas feature,1,0,0,0
150,find the nearest movie theatre with The Witness Chair,1,0,0,0
151,When is The Prince Who Was a Thief playing at the cinema?,1,0,0,0
152,Find the schedule for The Solitude of Prime Numbers at the nearest cinema in 1 hour .,1,0,0,0
153,What movie schedules start at sunset?,1,0,0,0
154,Let me see the movie schedule for Seed of Chucky,1,0,0,0
155,movie schedules of movies in the neighbourhood at zero am,1,0,0,0
156,show movie times at sunrise,1,0,0,0
157,Show me the films at the closest cinema,1,0,0,0
158,find movies around here,1,0,0,0
159,show the movie schedule for 9 pm  at Cobb Theatres,1,0,0,0
160,Is The Strange Case of the End of Civilization as We Know It playing at the movie theatre,1,0,0,0
161,What are the movie schedules for Speakeasy Theaters,1,0,0,0
162,What is the movie schedule for movies in the neighborhood,1,0,0,0
163,find The Dead Matter at Speakeasy Theaters,1,0,0,0
